V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.6086708302031045,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
31,8.61111111111111,2.4430840241236154,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
32,8.88888888888889,2.292777096858197,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
33,9.166666666666666,2.1559263059529794,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
34,9.444444444444445,2.0309720996390954,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
35,9.722222222222221,1.916574487496159,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
36,10.0,1.8115769654188227,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
37,10.277777777777777,1.7149771710612087,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
38,10.555555555555555,1.6259028720102455,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
39,10.833333333333334,1.543592207220772,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
40,11.11111111111111,1.4673773419892464,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
41,11.38888888888889,1.3966708787524056,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
42,11.666666666666666,1.3309545052056662,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
43,11.944444444444445,1.2697694684601375,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
44,12.222222222222221,1.212708547098551,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
45,12.5,1.1594092578680466,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
46,12.777777777777777,1.1095480846799597,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
47,13.055555555555555,1.0628355578011746,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
48,13.333333333333332,1.0190120430480882,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
49,13.61111111111111,0.9778441262735504,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
50,13.88888888888889,0.9391214988731177,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
51,14.166666666666666,0.9026542665062647,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
52,14.444444444444445,0.8682706165616844,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
53,14.722222222222221,0.835814790737912,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,7.999999999999999,7.265170242658546,0.826544799039749,0.07385472223509995,-0.006948391361140366,11.191495601440744,True,-0.004949624214696208,-0.2835925776778472,0.008650949669292944,0.49566290483058095,47.26517024265855,32.73482975734145,32.73482975734145,9.0,9.0,1.7336731370515266,25.523521184369695,42.14410102682303,10.0,52.14410102682303,114.43979055138719,101.08848165372534
54,15.0,0.8051453179639213,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,7.772347339967051,7.898283256104481,0.8051453179638874,0.07152987146731221,-3.5693670241698783e-13,11.256071085376178,True,-0.004920675573025717,-0.2819339426874915,0.008642914461891684,0.4952025213589765,47.89828325610448,32.10171674389552,32.10171674389552,9.0,9.0,1.7430593544748811,26.145890317123218,43.17174871764412,10.0,53.17174871764412,112.2280185232997,101.00521667096973
55,15.277777777777777,0.7761334701430727,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,7.364420047726487,7.665927928889957,0.7761334701441522,0.06794602611203082,1.822999216860577e-12,11.422794158181484,True,-0.004931299854891529,-0.2825426691987599,0.008628516297612333,0.4943775673130337,47.66592792888996,32.33407207111004,32.33407207111004,9.0,9.0,1.7176182752076141,26.241390315671882,43.32943705374098,10.0,53.32943705374098,111.89617460215436,102.57149338530817
56,15.555555555555555,0.7486619091781871,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,6.978133142504849,7.444738313877293,0.7486619091790557,0.06453418076215758,1.381545051970523e-12,11.601013607630177,True,-0.0049414135925185355,-0.28312214367989,0.008614881950447682,0.493596376764083,47.444738313877295,32.555261686122705,32.555261686122705,9.0,9.0,1.6912315305895658,26.308046031393246,43.4394980910518,10.0,53.4394980910518,111.6657194240978,104.22133812915794
57,15.833333333333332,0.7226234986712203,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,6.611982733593494,7.234028617942035,0.722623498671878,0.061283790097574425,1.0522390250788938e-12,11.791429634514055,True,-0.0049510481433089676,-0.2836741627776862,0.00860195833920926,0.4928559083840535,47.23402861794204,32.76597138205796,32.76597138205796,9.0,9.0,1.6639203733692494,26.34540591167978,43.5011862318758,10.0,53.5011862318758,111.53696619243688,105.96011788281503
58,16.11111111111111,0.6979202577832325,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,6.264593327982969,7.033163441354832,0.6979202577837947,0.05818508176347185,8.035419118285203e-13,11.994831606852596,True,-0.0049602325604629505,-0.28420039111789697,0.008589696914622013,0.49215338050438634,47.03316344135483,32.96683655864517,32.96683655864517,9.0,9.0,1.635704496994104,26.35301689601612,43.51375338867471,10.0,53.51375338867471,111.51077287848946,107.79374711587315
59,16.38888888888889,0.6744624381450143,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.934910701192362,6.843065026871735,0.67446243814543,0.055354696887212056,4.82131695678234e-13,12.184375962164165,True,-0.004968924675087239,-0.28469841260091266,0.00857835918048091,0.4915037761888598,46.843065026871734,33.156934973128266,33.156934973128266,9.0,9.0,1.6102589136232817,26.390354417714896,43.57540461129395,10.0,53.57540461129395,111.38245325994335,109.52607903894429
60,16.666666666666668,0.6521677075507761,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.62235961795777,6.66770415430533,0.6521677075511595,0.05313706522228208,3.799243905588945e-13,12.273310632098752,True,-0.004976942926102676,-0.28515782454317373,0.008568761793383988,0.49095388641385285,46.667704154305326,33.332295845694674,33.332295845694674,9.0,9.0,1.5985906808794335,26.643178014657227,43.99286359489326,10.0,53.99286359489326,110.52127267730998,110.52127267730998
61,16.944444444444443,0.6309604265473784,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.325049385810336,6.500612844826201,0.6309604265477466,0.051017357878526175,2.936331733316422e-13,12.367563762319522,True,-0.0049845830572350916,-0.28559557181198764,0.008559632401297848,0.49043081077779693,46.5006128448262,33.4993871551738,33.4993871551738,9.0,9.0,1.5864078307635703,26.88079935460494,44.38522081255718,10.0,54.38522081255718,109.72392703096607,111.55265914814883
62,17.22222222222222,0.6107710060309038,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.042005013526588,6.341283419091717,0.6107710060310677,0.048990084752949546,2.275731686429694e-13,12.467237178933335,True,-0.004991868281760883,-0.2860129844301207,0.008550941065538265,0.4899328339204417,46.34128341909172,33.65871658090828,33.65871658090828,9.0,9.0,1.5737247730522361,27.103037758121843,44.75217792878736,10.0,54.75217792878736,108.98854120034024,112.62149257368492
63,17.5,0.5915353356469626,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.772328242785738,6.189246248905849,0.5915353356471416,0.04705011874970735,1.7641443861293737e-13,12.572451491439029,True,-0.004998820073094867,-0.2864112927336136,0.008542660203629026,0.4894583754823116,46.189246248905846,33.810753751094154,33.810753751094154,9.0,9.0,1.5605548379618566,27.30970966433249,45.09343185029101,10.0,55.09343185029101,108.3134558801038,113.72912867410899
64,17.77777777777778,0.5731942742145493,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.515190414130101,6.044066413827002,0.5731942742146422,0.04519266908017672,1.3755945167670536e-13,12.683346345349356,True,-0.005005458317664512,-0.28679163613082986,0.008534764370239709,0.4890059775533653,46.044066413827004,33.955933586172996,33.955933586172996,9.0,9.0,1.546910370952482,27.500628816933016,45.408675033119536,10.0,55.408675033119536,107.69721521825092,114.87702956613431
65,18.055555555555554,0.5556931945994781,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.269826094922255,5.905340692652328,0.5556931945995738,0.04341325660821798,1.0746882984219441e-13,12.800080851211309,True,-0.005011801452472164,-0.28715507098419085,0.008527230061521781,0.4885742934622794,45.90534069265233,34.09465930734767,34.09465930734767,9.0,9.0,1.5328028180499096,27.675606437012252,45.69759576802849,10.0,55.69759576802849,107.13855630058241,116.06676932563094
66,18.333333333333332,0.5389815764882449,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.03552737762748,5.772694852295842,0.5389815764883116,0.041707691096241395,8.417703654343273e-14,12.922834190092182,True,-0.00501786658905917,-0.28750257771279664,0.008520035540028146,0.4881620777450779,45.77269485229584,34.22730514770416,34.22730514770416,9.0,9.0,1.5182428027316874,27.83445138341427,45.95987844526608,10.0,55.95987844526608,106.63640032450445,117.3000403569549
67,18.61111111111111,0.5230126413862317,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.811685364127001,5.644295976495971,0.523012641386297,0.04041624617279954,8.095694253862362e-14,12.940653596332474,True,-0.005023737536216287,-0.2878389582066438,0.008512120202223068,0.4877085622954266,45.64429597649597,34.35570402350403,34.35570402350403,9.0,9.0,1.5161521675816263,28.2172764522136,46.59199414194196,10.0,56.59199414194196,105.44530353591867,117.74725561510918
68,18.88888888888889,0.5077430249097739,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.5976553059329404,5.520961114030677,0.507743024909836,0.03923795580854808,5.778016953783549e-14,12.940098800947807,True,-0.005029376934970002,-0.288162071954223,0.008504363878225443,0.48726415766582665,45.520961114030676,34.479038885969324,34.479038885969324,9.0,9.0,1.5162171712757961,28.63965767965393,47.28942444524901,10.0,57.28942444524901,104.1616329328453,118.04985065722467
69,19.166666666666668,0.49313248207998195,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.3928644440777194,5.402670897474946,0.49313248208001714,0.0381054838143939,4.5466234943614126e-14,12.941247104537277,True,-0.00503478567088203,-0.288471969694483,0.008496942377293724,0.4868389369847868,45.40267089747495,34.59732910252505,34.59732910252505,9.0,9.0,1.5160826341939266,29.05825048871693,47.9805993621745,10.0,57.9805993621745,102.91994331974773,118.35793481770989
70,19.444444444444443,0.47914362187403975,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.196788538540582,5.289157595211781,0.4791436218740932,0.03701656457045299,3.573031627512879e-14,12.944032690071694,True,-0.005039975985789894,-0.2887693528330475,0.008489836701276503,0.48643181173841266,45.28915759521178,34.71084240478822,34.71084240478822,9.0,9.0,1.5157563697325243,29.47304052257686,48.66549518691742,10.0,58.66549518691742,101.71839479044813,118.67146058885616
71,19.72222222222222,0.4657416677609194,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.008940011602945,5.180170758941991,0.46574166776092546,0.0359690648946822,2.8447188181457417e-14,12.948395214738609,True,-0.005044959331263718,-0.28905487749655323,0.008483029180642723,0.48604176953714884,45.18017075894199,34.81982924105801,34.81982924105801,9.0,9.0,1.5152456867911819,29.884012156159418,49.344086119561474,10.0,59.344086119561474,100.55525984472094,118.9903908162531
72,20.0,0.4528942413547057,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,2.8288649135608903,5.075475921366335,0.45289424135473455,0.034960975395039826,2.252069516116284e-14,12.954279342532017,True,-0.005049746428153784,-0.2893291579444742,0.008476503364520896,0.4856678678154897,45.07547592136633,34.92452407863367,34.92452407863367,9.0,9.0,1.5145574277979377,30.291148555958753,50.01634436484417,10.0,60.01634436484417,99.4289149589642,119.31469795075705
73,20.27777777777778,0.4405711666696931,2.0,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,2.656143677388656,4.975687959067406,0.44057116666969365,0.03399824549144782,1.576169750272527e-14,12.958644197698915,True,-0.005054265104364543,-0.28958805902033685,0.008470244048047658,0.4853092353989365,44.97568795906741,35.02431204093259,35.02431204093259,9.0,9.0,1.514047279998935,30.701514288867294,50.69393484229894,10.0,60.69393484229894,98.31888500070053,119.62131008418564
