V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.0281213126876905,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
31,8.61111111111111,1.8993852043901374,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
32,8.88888888888889,1.7825284974794158,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
33,9.166666666666666,1.6761333162708192,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
34,9.444444444444445,1.578987181158237,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
35,9.722222222222221,1.4900483113623855,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
36,10.0,1.408417578255341,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
37,10.277777777777777,1.3333156913213455,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
38,10.555555555555555,1.2640645300685056,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
39,10.833333333333334,1.2000717826554383,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
40,11.11111111111111,1.1408182383868262,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
41,11.38888888888889,1.0858472227358247,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
42,11.666666666666666,1.0347557717794342,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
43,11.944444444444445,0.9871872262947117,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
44,12.222222222222221,0.9428249904023359,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
45,12.5,0.9013872500834182,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
46,12.777777777777777,0.8626224864928743,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
47,13.055555555555555,0.8263056502575473,1.8,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
