V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.347803747182794,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
31,8.61111111111111,2.198775621711254,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
32,8.88888888888889,2.0634993871723775,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
33,9.166666666666666,1.9403336753576814,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
34,9.444444444444445,1.8278748896751857,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
35,9.722222222222221,1.7249170387465431,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
36,10.0,1.6304192688769406,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
37,10.277777777777777,1.5434794539550878,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
38,10.555555555555555,1.463312584809221,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
39,10.833333333333334,1.3892329864986948,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,,,,,,,False,,,,,,,,,,,,,10.0,,,
