beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg
0.0,0.05,-8.0,0.2,0.00209098426,-0.407545243975,-0.405454259716,0.015556379598,0.011846560076,0.027402939674,3.278e-09,0.000714298171,0.00071430145,-14.796013294362,0.832432409153,-3.376e-09,5.9950415e-05,-6.72386e-07,-0.000141847364,0.025642843626,0.000251026123,-0.00014185074,0.025702794041,0.000250353737,0.015695994744,3.278e-09,-9.4394644e-05,-0.044988065218,0.000714298171,-0.405227764178,-0.029292070474,0.00071430145,-0.405322158821,-0.404185345227,0.02691555748,0.000753809851,-0.406276329487,0.011359177882,0.000753806572,-0.029598110733,0.000753809851,-0.403997762831,-0.045294105478,0.000753806572,-0.403903368187,-15.01679263131,0.868149143073,1.0,0,0,-8,0,0.036
0.0,0.05,-6.0,0.2,0.001486039813,-0.263539365951,-0.262053326139,0.014993078974,0.004947987279,0.019941066252,2.276e-09,0.000557617037,0.000557619313,-13.141389874712,0.832546088797,-1.509e-09,6.9017824e-05,-3.52118e-07,-9.6705643e-05,0.014441516982,0.000191493143,-9.6707151e-05,0.014510534805,0.000191141025,0.015066278776,2.276e-09,-8.9304373e-05,-0.022626483247,0.000557617037,-0.262612875237,-0.007560204471,0.000557619313,-0.26270217961,-0.260074091262,0.021147920512,0.000558889475,-0.261560131075,0.006154841538,0.000558887199,-0.006153075105,0.000558889475,-0.26085993781,-0.021219353881,0.000558887199,-0.260770633437,-12.297856478046,0.669298702616,1.0,0,0,-6,0,0.036
0.0,0.05,-4.0,0.2,0.000940376486,-0.119133630375,-0.118193253889,0.014687929278,0.001131947418,0.015819876696,1.757e-09,0.000465473205,0.000465474962,-7.471186796362,0.740315140618,-5.35e-10,7.2403787e-05,-1.84546e-07,-7.3047527e-05,0.003872100291,0.000158497808,-7.3048062e-05,0.003944504078,0.000158313263,0.014717747568,1.757e-09,-8.6492377e-05,-0.007181151909,0.000465473205,-0.118922387499,0.00753659566,0.000465474962,-0.119008879876,-0.115997590984,0.01511700992,0.000457110158,-0.116937967469,0.000429080642,0.000457108401,0.006988602734,0.000457110158,-0.116769535987,-0.007729144834,0.000457108401,-0.11668304361,-7.673315794461,1.953007732953,1.0,0,0,-4,0,0.036
0.0,0.05,-2.0,0.2,0.000425311065,0.025969152467,0.026394463532,0.014642478203,0.000512279063,0.015154757267,9.63e-10,0.000266381396,0.000266382359,1.741661912993,0.081578662082,9.3e-11,6.9994829e-05,-4.8997e-08,-3.4574716e-05,-0.006795085569,9.0389344e-05,-3.4574623e-05,-0.00672509074,9.0340347e-05,0.014648401543,9.63e-10,-8.5963143e-05,0.001418277348,0.000266381396,0.025935454479,0.016066678891,0.000266382359,0.025849491337,0.028587051074,0.00870966842,0.00024572011,0.028161740009,-0.005932809783,0.000245719147,0.00970203642,0.00024572011,0.028265673571,-0.004946365123,0.000245719147,0.028351636714,3.282220366684,-0.007044055367,1.0,0,0,-2,0,0.036
0.0,0.05,0.0,0.2,-8.7713314e-05,0.170714751944,0.17062703863,0.014859752557,0.002902641073,0.01776239363,7.04e-10,0.000160135044,0.000160135747,9.606083627362,0.601672104625,2.44e-10,6.1849259e-05,-1.5403e-08,-1.053534e-05,-0.016369777736,5.6596685e-05,-1.0535096e-05,-0.016307928477,5.6581282e-05,0.014859752557,7.04e-10,-8.7713314e-05,0.002902641073,0.000160135044,0.170714751944,0.01776239363,0.000160135747,0.17062703863,0.173405563283,0.002339928534,0.000154914856,0.173493276597,-0.012519824023,0.000154914153,0.002339928534,0.000154914856,0.173405563283,-0.012519824023,0.000154914153,0.173493276597,74.107204897785,-0.13949382677,1.0,0,0,0,0,0.036
0.0,0.05,2.0,0.2,-0.000627378417,0.315722174826,0.315094796409,0.015337019367,0.008624712853,0.02396173222,-5.9e-11,-0.000153170047,-0.000153170106,13.149917272757,0.690550308955,-2.54e-10,4.7885544e-05,-4.5482e-08,3.319472e-05,-0.026158384818,-4.6082715e-05,3.3194465e-05,-0.026110499274,-4.6128197e-05,0.01534957166,-5.9e-11,-9.1741978e-05,-0.002399086088,-0.000153170047,0.315830843545,0.012950485572,-0.000153170106,0.315739101567,0.319002622946,-0.004384550628,-9.3055467e-05,0.319630001362,-0.019721569995,-9.3055408e-05,-0.015514910666,-9.3055467e-05,0.318655276557,-0.030864482326,-9.3055408e-05,0.318747018535,-72.756058714227,-0.301994117462,1.0,0,0,2,0,0.036
0.0,0.05,4.0,0.2,-0.001221978139,0.45975839372,0.458536415581,0.016069813761,0.017349407252,0.033419221012,-4.8e-11,-0.000227755577,-0.000227755625,13.720739194106,0.726976761365,-9.83e-10,2.8143366e-05,-1.45327e-07,4.9449302e-05,-0.034959932948,-6.4977231e-05,4.9448319e-05,-0.034931789582,-6.5122558e-05,0.016115909388,-4.8e-11,-9.802792e-05,-0.014763979353,-0.000227755577,0.459848678852,0.001351930035,-0.000227755625,0.459750650932,0.46498312434,-0.010735685791,-0.000161492591,0.466205102479,-0.026805499552,-0.000161492543,-0.043145117305,-0.000161492591,0.463101565235,-0.059261026693,-0.000161492543,0.463199593155,-43.311916292602,-0.470523441316,1.0,0,0,4,0,0.036
0.0,0.05,6.0,0.2,-0.001899265287,0.602985736109,0.601086470822,0.017050910647,0.029195547672,0.046246458319,-1.1e-10,-0.00032086022,-0.00032086033,12.997459539072,0.742360381103,-2.089e-09,2.603358e-06,-2.91005e-07,6.6164532e-05,-0.043336169184,-8.8349474e-05,6.6162443e-05,-0.043333565827,-8.8640479e-05,0.017156031256,-1.1e-10,-0.000106555426,-0.033993560961,-0.00032086022,0.602734282887,-0.016837529705,-0.00032086033,0.602627727462,0.611598311102,-0.017050231829,-0.000181746858,0.613497576389,-0.034101142476,-0.000181746748,-0.080886260471,-0.000181746858,0.60646567703,-0.098042291727,-0.000181746748,0.606572232455,-35.870380957205,-0.635568673735,1.0,0,0,6,0,0.036
0.0,0.05,8.0,0.2,-0.00268606621,0.74525849958,0.74257243337,0.018269539752,0.044250318939,0.062519858691,-3.24e-10,-0.000547129585,-0.000547129909,11.877385024886,0.74751299472,-4.099e-09,-2.8702487e-05,-5.46497e-07,9.7039969e-05,-0.051605834038,-0.000155142581,9.703587e-05,-0.051634536525,-0.000155689078,0.018465570011,-3.24e-10,-0.000117297098,-0.059900258527,-0.000547129585,0.744164149197,-0.041434688516,-0.000547129909,0.7440468521,0.759171157897,-0.023519842254,-0.000184447932,0.761857224107,-0.041789382006,-0.000184447608,-0.12894715297,-0.000184447932,0.748509626995,-0.147412722981,-0.000184447608,0.748626924092,-32.277901769223,-0.791533323525,1.0,0,0,8,0,0.036
0.0,0.05,-8.0,0.2,0.002633224506,-0.526519358463,-0.523886133957,0.017131057309,0.029071984551,0.04620304186,-2.952884e-06,0.001557715483,0.0015547626,-11.338780151045,0.566313135321,2.72474e-07,-0.000221543943,-3.988001e-06,-0.000265566438,0.179620004478,0.000552786291,-0.000265293964,0.179398460536,0.00054879829,0.017330813057,-2.952884e-06,0.000223415777,-0.044488273837,0.001557715483,-0.525441346501,-0.02715746078,0.0015547626,-0.525217930723,-0.512851648839,0.040031527161,0.001829089882,-0.515484873344,0.022900469852,0.001832042766,-0.031733211211,0.001829089882,-0.513431923618,-0.049064024268,0.001832042766,-0.513655339395,-12.811193706739,0.718930520955,1.0,20,0,-8,0,0.036
0.0,0.05,-6.0,0.2,0.001942383779,-0.384282802295,-0.382340418516,0.016432130069,0.018683728024,0.035115858092,-2.687516e-06,0.001565951154,0.001563263638,-10.887970258619,0.469347373819,2.48283e-07,-0.000205807,-3.561535e-06,-0.000283988191,0.170149982113,0.000549348788,-0.000283739908,0.169944175113,0.000545787253,0.016545147532,-2.687516e-06,0.000214117893,-0.021587114177,0.001565951154,-0.384130642274,-0.005041966645,0.001563263638,-0.383916524381,-0.370326088275,0.033672983634,0.001806559683,-0.372268472054,0.017240853566,0.001809247199,-0.005221097408,0.001806559683,-0.371817188448,-0.021766244941,0.001809247199,-0.372031306342,-10.997721268035,0.508626713152,1.0,20,0,-6,0,0.036
0.0,0.05,-4.0,0.2,0.001322085972,-0.240548757435,-0.239226671463,0.015989010926,0.011759398206,0.027748409132,-2.341967e-06,0.00150425842,0.001501916453,-8.621275199093,0.291938656265,2.11412e-07,-0.00019673791,-2.863706e-06,-0.000257481746,0.159914638226,0.000523064033,-0.000257270335,0.159717900316,0.000520200327,0.016042286554,-2.341967e-06,0.000203528417,-0.005049080179,0.00150425842,-0.240783086904,0.010993206375,0.001501916453,-0.240579558488,-0.227611913188,0.027206940274,0.001621885985,-0.228933999161,0.011217929349,0.001624227952,0.011263261089,0.001621885985,-0.228955322222,-0.004779025465,0.001624227952,-0.229158850639,-8.365950411736,0.306029999314,1.0,20,0,-4,0,0.036
0.0,0.05,-2.0,0.2,0.000743623942,-0.096155249187,-0.095411625246,0.015805339622,0.007851151577,0.023656491199,-1.958425e-06,0.0013570433,0.001355084874,-4.033211199563,0.069554740044,1.75002e-07,-0.000194556826,-2.184748e-06,-0.000189975084,0.149897602374,0.000463607195,-0.000189800082,0.149703045548,0.000461422448,0.015821663538,-1.958425e-06,0.000191572548,0.004490599065,0.0013570433,-0.096370675246,0.020312262603,0.001355084874,-0.096179102698,-0.084486805015,0.020420297474,0.001430915579,-0.085230428957,0.004614957852,0.001432874004,0.017459311008,0.001430915579,-0.085147996041,0.00163764747,0.001432874004,-0.085339568589,-4.13739344995,0.118329316213,1.0,20,0,-2,0,0.036
0.0,0.05,0.0,0.2,0.000178460433,0.048385279908,0.048563740342,0.01588596996,0.007093948158,0.022979918118,-1.576423e-06,0.001174723413,0.001173146989,2.113312157727,0.019943149867,1.42924e-07,-0.000199412927,-1.632324e-06,-0.000160781974,0.140361342041,0.000397992074,-0.00016063905,0.140161929114,0.00039635975,0.01588596996,-1.576423e-06,0.000178460433,0.007093948158,0.001174723413,0.048385279908,0.022979918118,0.001173146989,0.048563740342,0.059033587162,0.013265581646,0.001224250593,0.058855126729,-0.002620388313,0.001225827016,0.013265581646,0.001224250593,0.059033587162,-0.002620388313,0.001225827016,0.058855126729,4.450131832597,-0.053990345836,1.0,20,0,0,0,0.036
0.0,0.05,2.0,0.2,-0.000402587744,0.192542217203,0.192139629459,0.01622751107,0.009435126304,0.025662637374,-1.195012e-06,0.000965332541,0.000964137529,7.487134960381,0.234716535318,1.06912e-07,-0.000210874956,-1.145532e-06,-0.000115605564,0.131350506596,0.000326528054,-0.000115498653,0.13113963164,0.000325382522,0.016231675818,-1.195012e-06,0.000163989471,0.002709752206,0.000965332541,0.192754206845,0.018941428024,0.000964137529,0.192918196317,0.202834857286,0.00576259765,0.000952501662,0.20323744503,-0.01046491342,0.000953696675,-0.001319747202,0.000952501662,0.202912407529,-0.01755142302,0.000953696675,0.202748418058,35.198511088827,-0.21161953926,1.0,20,0,2,0,0.036
