beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,analysis_tag,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg,mach_commanded,l2_residual
0.0,0.05,-8.0,0.2,0.001388333882,-0.140563601761,-0.139175267879,0.01757360861,0.051587228812,0.069160837423,7.790936e-06,-9.3574792e-05,-8.5783856e-05,-2.012342144277,0.02252368471,-4.24686e-07,0.001778471287,1.727305e-06,0.00041873209,-0.182141200797,-8.4789625e-05,0.000418307403,-0.18036272951,-8.306232e-05,0.017595802191,7.790936e-06,-0.001070950893,0.031522513109,-9.3574792e-05,-0.146375201055,0.049118315299,-8.5783856e-05,-0.147446151948,-0.036474158446,-0.009055129847,-0.001373826169,-0.037862492327,-0.026628738457,-0.001381617104,-0.014043227681,-0.001373826169,-0.034858963942,-0.031639029872,-0.001381617104,-0.033788013049,4.028010538035,-0.043634604722,1.0,alpha_elevator,-40,0,-8,0,0.032,0.05,6.411115884781
0.0,0.05,-6.0,0.2,0.000713095747,0.023788544826,0.024501640573,0.017506413589,0.047675699652,0.065182113241,-4.728285e-06,0.000288065899,0.000283337614,0.375895155199,0.000755354395,-9.9131e-08,0.001893714394,-1.802257e-06,-0.00012223622,-0.225555639265,0.000142277272,-0.000122335351,-0.223661924872,0.000140475015,0.017485050426,-4.728285e-06,-0.001120729176,0.049901107215,0.000288065899,0.018674761068,0.067386157641,0.000283337614,0.017554031893,0.116731335681,0.016713491155,0.000100909501,0.116018239934,-0.000792922434,0.000105637786,0.028823680035,0.000100909501,0.114344833664,0.011338629609,0.000105637786,0.11546556284,6.98425808234,-0.045416862641,1.0,alpha_elevator,-40,0,-6,0,0.032,0.05,6.465859889984
0.0,0.05,-4.0,0.2,6.3925513e-05,0.201383566995,0.201447492508,0.017697843486,0.045981361713,0.063679205199,9.80555e-07,0.000566718829,0.000567699384,3.163473725504,0.052941886155,-1.09568e-07,0.002007225661,-1.20837e-07,0.000102942398,-0.28272172389,0.000213975939,0.000102832831,-0.280714498229,0.000213855102,0.017659191647,9.80555e-07,-0.001170769361,0.059917160931,0.000566718829,0.197685509097,0.077576352578,0.000567699384,0.196514739736,0.271803991811,0.038163649387,3.875755e-06,0.271740066299,0.020465805901,2.8952e-06,0.057030772674,3.875755e-06,0.268479729342,0.039371581027,2.8952e-06,0.269650498703,7.122065006286,0.11894669718,1.0,alpha_elevator,-40,0,-4,0,0.032,0.05,7.016093015671
0.0,0.05,-2.0,0.2,-0.000608038077,0.314712746452,0.314104708376,0.018237002008,0.056836093878,0.075073095886,2.736848e-06,0.00083946658,0.000842203428,4.183985017131,0.104131512479,-3.09023e-07,0.002129136846,2.76518e-07,-0.000133463418,-0.255529354187,0.000361164125,-0.000133772442,-0.253400217341,0.000361440643,0.018204672296,2.736848e-06,-0.001244129868,0.067784787322,0.00083946658,0.31253748088,0.085989459618,0.000842203428,0.311293351012,0.413811092179,0.047604489933,0.000160980688,0.414419130256,0.029367487925,0.00015824384,0.062017289411,0.000160980688,0.411897636903,0.043812617115,0.00015824384,0.413141766771,8.692690390336,0.201529951556,1.0,alpha_elevator,-40,0,-2,0,0.032,0.05,6.287388086319
0.0,0.05,0.0,0.2,-0.001300557998,0.463866459649,0.462565901651,0.018955357117,0.065997572355,0.084952929472,9.82592e-07,0.000463792566,0.000464775158,5.444967048555,0.194480819683,-8.546e-08,0.002225166988,-2.15608e-07,6.5391583e-05,-0.275126768725,0.000200484686,6.5306123e-05,-0.272901601738,0.000200269078,0.018955357117,9.82592e-07,-0.001300557998,0.065997572355,0.000463792566,0.463866459649,0.084952929472,0.000464775158,0.462565901651,0.561037382238,0.063231089989,7.1568678e-05,0.562337940236,0.044275732872,7.0586086e-05,0.063231089989,7.1568678e-05,0.561037382238,0.044275732872,7.0586086e-05,0.562337940236,8.872808966905,0.2898938343,1.0,alpha_elevator,-40,0,0,0,0.032,0.05,6.916486024857
0.0,0.05,2.0,0.2,-0.002043635172,0.601590652078,0.599547016906,0.019873790181,0.077336804049,0.097210594231,1.392193e-06,0.000268055496,0.000269447689,6.167506964134,0.278816055319,-1.99657e-07,0.00229925834,-6.11092e-07,7.2390392e-05,-0.280377980944,0.000140458705,7.2190735e-05,-0.278078722604,0.000139847612,0.019933005444,1.392193e-06,-0.00134880497,0.056294481579,0.000268055496,0.603923194845,0.076227487024,0.000269447689,0.602574389875,0.702682494812,0.078720218877,-0.000199117764,0.704726129984,0.058846428695,-0.000200509957,0.054148999236,-0.000199117764,0.705001735641,0.034215993791,-0.000200509957,0.706350540611,8.92632801126,0.366423980419,1.0,alpha_elevator,-40,0,2,0,0.032,0.05,7.092151880264
0.0,0.05,4.0,0.2,-0.002902496538,0.773935480595,0.771032984057,0.021147603107,0.093728756229,0.114876359336,2.699383e-06,0.000450353283,0.000453052666,6.711850797817,0.380478890705,-2.27285e-07,0.002401913897,-1.921471e-06,0.000252667616,-0.333789778027,0.00023254752,0.000252440331,-0.33138786413,0.000230626049,0.021298556532,2.699383e-06,-0.001420243981,0.039513427658,0.000450353283,0.778588400185,0.06081198419,0.000453052666,0.777168156203,0.854229535324,0.088665292313,-0.000633992451,0.857132031862,0.067517689206,-0.000636691834,0.028861267965,-0.000633992451,0.858333653244,0.007562711433,-0.000636691834,0.859753897226,9.634317025771,0.528184741161,1.0,alpha_elevator,-40,0,4,0,0.032,0.05,6.409710884094
0.0,0.05,6.0,0.2,-0.003889452761,0.913588986049,0.909699533288,0.022652336437,0.115517976134,0.138170312571,8.089733e-06,0.000938981595,0.000947071329,6.583900089417,0.429738119217,-6.1619e-07,0.002502050463,-5.47383e-07,0.000161293445,-0.345203126273,0.000404568998,0.000160677256,-0.34270107581,0.000404021615,0.022934803088,8.089733e-06,-0.001500332015,0.019389103804,0.000938981595,0.920659166519,0.042323906891,0.000947071329,0.919158834503,0.998131960671,0.104765563903,0.001888106623,1.002021413433,0.082113227466,0.00188001689,-0.000141552806,0.001888106623,1.003615072753,-0.023076355893,0.00188001689,1.005115404768,9.527290490221,0.604561278756,1.0,alpha_elevator,-40,0,6,0,0.032,0.05,6.890070915222
0.0,0.05,8.0,0.2,-0.005005696585,0.99542190516,0.990416208575,0.024302270463,0.135214247784,0.159516518248,-3.082942e-06,0.000251219212,0.00024813627,6.208863003371,0.435181603711,-1.06317e-07,0.002587862592,1.754663e-06,-0.000331740805,-0.275725910068,0.000120772405,-0.000331847122,-0.273138047475,0.000122527068,0.024762420754,-3.082942e-06,-0.001574759149,-0.004637601285,0.000251219212,1.004552713764,0.020124819469,0.00024813627,1.002977954615,1.129896028983,0.138116043464,-6.5979426e-05,1.134901725568,0.113813773001,-6.2896484e-05,-0.020479226492,-6.5979426e-05,1.138121996561,-0.045241647246,-6.2896484e-05,1.13969675571,8.180773215343,0.51700907231,1.0,alpha_elevator,-40,0,8,0,0.032,0.05,6.838943004608
0.0,0.05,-8.0,0.2,0.001875133593,-0.252257643933,-0.25038251034,0.015455734739,0.022363592891,0.03781932763,6.3125e-07,-0.000770803035,-0.000770171786,-6.620490792248,0.168160468046,-4.5647e-08,0.000451729883,1.70308e-07,0.000190555227,-0.052209908655,-0.000310473392,0.00019050958,-0.051758178772,-0.000310303084,0.015566288748,6.3125e-07,-0.00029413761,-0.012961526605,-0.000770803035,-0.252915100454,0.002604762143,-0.000770171786,-0.253209238064,-0.185793059702,-0.026553352309,-0.000757429267,-0.187668193295,-0.042009087048,-0.000758060517,-0.052152333165,-0.000757429267,-0.180289422035,-0.067718621913,-0.000758060517,-0.179995284425,6.996971890392,-0.089520446931,1.0,alpha_elevator,-20,0,-8,0,0.032,0.05,6.301783084869
