beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,mach,alpha_deg,beta_deg,re_cref,vinf_mps,rho,analysis_tag,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg,ycg,zcg,mach_commanded,l2_residual
0.0,0.05,-8.0,0.2,0.00144224015,-0.091631277589,-0.090189037439,0.017032362269,0.025911318403,0.042943680672,4.5983e-07,-9.3159251e-05,-9.2699421e-05,-2.100170177037,0.014203968513,-9.2169e-08,0.001592304553,3.3947e-08,5.9314524e-05,-0.284075386425,-3.5053887e-05,5.9222354e-05,-0.282483081871,-3.501994e-05,0.017067325524,4.5983e-07,-0.000942242306,0.012906542186,-9.3159251e-05,-0.094345686826,0.029973867711,-9.2699421e-05,-0.095287929132,-0.065135738283,0.037554064611,-0.000199830739,-0.066577978433,0.020521702341,-0.00020029057,0.028123448355,-0.000199830739,-0.069728357381,0.011056122831,-0.00020029057,-0.068786115075,-1.734452421025,0.017934357715,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-8,0,0.032,0.0,0.007,0.05,7.574691057205
0.0,0.05,-6.0,0.2,0.000779583511,0.062341437308,0.063121020819,0.016917839554,0.027740722162,0.044658561716,4.21914e-07,-0.000125754601,-0.000125332687,1.413413652234,0.006498632426,-8.6543e-08,0.001710360801,-6.6555e-08,5.9729383e-05,-0.304390000623,-4.1867823e-05,5.964284e-05,-0.302679639822,-4.1934378e-05,0.016906650525,4.21914e-07,-0.000993082899,0.034105210223,-0.000125754601,0.059100229334,0.051011860749,-0.000125332687,0.058107146435,0.091730764144,0.039287266866,-0.000162899011,0.090951180633,0.022369427312,-0.000163320925,0.048660522918,-0.000162899011,0.087121615789,0.031753872393,-0.000163320925,0.088114698688,2.334872630778,0.008059068927,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-6,0,0.032,0.0,0.007,0.05,7.45689201355
0.0,0.05,-4.0,0.2,0.000146576743,0.216707763575,0.216854340318,0.017106434562,0.031981447984,0.049087882546,7.5992e-07,-0.000123880395,-0.000123120475,4.417675586542,0.06653188424,-1.12237e-07,0.001823321684,-1.78418e-07,6.863693e-05,-0.324678657989,-3.2774667e-05,6.8524693e-05,-0.322855336306,-3.2953085e-05,0.017074988824,7.5992e-07,-0.001047064864,0.047020312204,-0.000123880395,0.213948961318,0.064095301028,-0.000123120475,0.212901896454,0.248807455661,0.040386973377,-0.000158832148,0.248660878919,0.023280538815,-0.000159592068,0.057644523488,-0.000158832148,0.245384120356,0.040569534664,-0.000159592068,0.246431185221,6.160586814469,0.091397626662,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-4,0,0.032,0.0,0.007,0.05,7.476305007935
0.0,0.05,-2.0,0.2,-0.000489507002,0.369708181015,0.369218674013,0.017598448883,0.038629230529,0.056227679412,1.478396e-06,-0.000178731046,-0.00017725265,6.56649319113,0.15967722166,-1.8591e-07,0.00192961368,-3.48661e-07,8.2399566e-05,-0.341781359902,-4.289576e-05,8.2213656e-05,-0.339851746222,-4.3244421e-05,0.017570644836,1.478396e-06,-0.001103385816,0.05150832809,-0.000178731046,0.368134824077,0.069078972925,-0.00017725265,0.367031438261,0.406074385661,0.040471425035,-0.000133806581,0.406563892663,0.022872976151,-0.000135284978,0.054618562619,-0.000133806581,0.404414583752,0.037047917784,-0.000135284978,0.405517969568,10.03360729979,0.269672305209,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-2,0,0.032,0.0,0.007,0.05,8.72199010849
0.0,0.05,0.0,0.2,-0.001164395345,0.525076626735,0.52391223139,0.018400089563,0.049221032649,0.067621122212,1.013272e-06,-0.000243018209,-0.000242004937,7.747760082228,0.252323710669,-1.58178e-07,0.002031203206,-4.93577e-07,6.269336e-05,-0.363236121984,-5.4211649e-05,6.2535181e-05,-0.361204918778,-5.4705226e-05,0.018400089563,1.013272e-06,-0.001164395345,0.049221032649,-0.000243018209,0.525076626735,0.067621122212,-0.000242004937,0.52391223139,0.562739442738,0.041628910666,-0.000191511222,0.563903838083,0.023228821103,-0.000192524493,0.041628910666,-0.000191511222,0.562739442738,0.023228821103,-0.000192524493,0.563903838083,13.51799587686,0.534664826341,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,0.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,0,0,0.032,0.0,0.007,0.05,8.089211940765
0.0,0.05,2.0,0.2,-0.001913616471,0.670082997079,0.668169380608,0.019527866921,0.058581601243,0.078109468164,8.05865e-07,-0.000240523149,-0.000239717284,8.554268724587,0.344828862582,-1.76229e-07,0.002134406841,-8.36387e-07,8.2646892e-05,-0.365887531273,-4.2396879e-05,8.2470663e-05,-0.363753124432,-4.3233266e-05,0.019582755324,8.05865e-07,-0.001230938021,0.035160355567,-0.000240523149,0.671719269022,0.054743110891,-0.000239717284,0.670488331001,0.725217670129,0.02813923471,-0.000289553714,0.7271312866,0.008611367789,-0.000290359579,0.002812361361,-0.000289553714,0.725757932248,-0.016770393962,-0.000290359579,0.726988870268,25.772473117984,2.345809332425,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,2,0,0.032,0.0,0.007,0.05,7.429421901703
0.0,0.05,4.0,0.2,-0.002761732399,0.819002854651,0.816241122252,0.020935358096,0.074250693628,0.095186051724,1.138768e-06,-0.000358298174,-0.000357159406,8.575217770559,0.406001964207,-2.08401e-07,0.002221787666,-9.34025e-07,5.876417e-05,-0.375351502493,-6.4078829e-05,5.8555769e-05,-0.373129714827,-6.5012854e-05,0.021077009329,1.138768e-06,-0.0012946282,0.016939071544,-0.000358298174,0.822187271421,0.038016080873,-0.000357159406,0.82089264322,0.889423923747,0.005470387892,5.963335e-05,0.892185656147,-0.015464970204,5.8494582e-05,-0.056586014282,5.963335e-05,0.887638926741,-0.077663023612,5.8494582e-05,0.888933554941,162.588822096843,-1.949303946883,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,4,0,0.032,0.0,0.007,0.05,7.177611112595
0.0,0.05,6.0,0.2,-0.003751171918,0.965457495564,0.961706323646,0.022630320081,0.091340340183,0.113970660264,2.40522e-06,-0.000397716671,-0.00039531145,8.438192087508,0.458156684125,-3.13675e-07,0.002307329874,-1.192722e-06,7.4933371e-05,-0.383899243902,-6.5471997e-05,7.4619696e-05,-0.381591914028,-6.666472e-05,0.022898453055,2.40522e-06,-0.001365110025,-0.010077820119,-0.000397716671,0.96971628378,0.012820632936,-0.00039531145,0.968351173755,1.053635964457,-0.011236595299,3.6905401e-05,1.057387136375,-0.03386691538,3.450018e-05,-0.121309988263,3.6905401e-05,1.046689492361,-0.144208441318,3.450018e-05,1.048054602385,-93.768257769569,-1.235665749778,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,6,0,0.032,0.0,0.007,0.05,7.541496038437
0.0,0.05,8.0,0.2,-0.004911076041,1.111385532164,1.106474456123,0.024615835725,0.113592904252,0.138208739977,7.0737e-08,0.000987085633,0.00098715637,8.005821168106,0.487666911561,-1.83254e-07,0.002385509705,-7.96166e-07,-7.71292e-06,-0.391693746689,0.000383368807,-7.896174e-06,-0.389308236985,0.000382572641,0.025059765785,7.0737e-08,-0.001437419596,-0.042187544957,0.000987085633,1.116378681295,-0.017127779172,0.00098715637,1.1149412617,1.223825152937,-0.041520031071,-0.000529144234,1.228736228978,-0.066135866796,-0.000529214971,-0.21143950255,-0.000529144234,1.2061364992,-0.236499268335,-0.000529214971,1.207573918796,-29.475535575835,-0.837601493349,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,8,0,0.032,0.0,0.007,0.05,7.290838003159
0.0,0.05,-8.0,0.2,0.001874736046,-0.215806203139,-0.213931467094,0.015239941002,0.006510323084,0.021750264086,5.1801e-08,-5.4959957e-05,-5.4908156e-05,-9.835810096324,0.318081569434,-7.54e-09,0.000375457707,4.2069e-08,2.955692e-05,-0.137232642775,-2.2533065e-05,2.954938e-05,-0.136857185069,-2.2490996e-05,0.015352539772,5.1801e-08,-0.000264498604,-0.02358745343,-5.4959957e-05,-0.214612053857,-0.008234913657,-5.4908156e-05,-0.214876552462,-0.20866831738,0.018047661469,-9.7911716e-05,-0.210543053426,0.002807720467,-9.7963517e-05,-0.011168993934,-9.7911716e-05,-0.209149320671,-0.026521533706,-9.7963517e-05,-0.208884822067,-11.56206956438,0.73754271773,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,-8,0,0.032,0.0,0.007,0.05,7.867800951004
