beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,analysis_tag,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg,mach_commanded,l2_residual
0.0,0.05,-8.0,0.2,0.001577083972,-0.106587396239,-0.105010312267,0.017882479603,0.025620051326,0.043502530929,5.60028e-07,-0.000186945568,-0.00018638554,-2.413889721475,0.029053860004,-1.03395e-07,0.00140929052,2.17995e-07,0.000101500252,-0.263237197477,-8.0446702e-05,0.000101396857,-0.261827906957,-8.0228707e-05,0.017927936207,5.60028e-07,-0.00092702424,0.01053662029,-0.000186945568,-0.109115717016,0.028464556497,-0.00018638554,-0.110042741255,-0.08039589479,0.03811746641,-0.000173392572,-0.081972978762,0.020234986807,-0.000173952601,0.026557563865,-0.000173392572,-0.08491841347,0.008629627657,-0.000173952601,-0.08399138923,-2.109161556692,0.036785859641,1.0,alpha_elevator,-40,0,-8,0,0.032,0.05,11.105834007263
0.0,0.05,-6.0,0.2,0.00088733409,0.055915906681,0.056803240771,0.017754294229,0.027462564063,0.045216858292,5.46009e-07,-0.000205849142,-0.000205303133,1.256240325313,0.007930947594,-1.10848e-07,0.001509150582,-9.619e-09,0.000104763981,-0.284642712226,-8.187535e-05,0.000104653133,-0.283133561644,-8.1884969e-05,0.017749786017,5.46009e-07,-0.000973355911,0.033156925061,-0.000205849142,0.052738973875,0.050906711078,-0.000205303133,0.051765617963,0.083876774194,0.03944167387,-0.000167422986,0.082989440104,0.02168737964,-0.000167968995,0.047993118564,-0.000167422986,0.079294510891,0.030243332547,-0.000167968995,0.080267866802,2.126602802695,0.010042898681,1.0,alpha_elevator,-40,0,-6,0,0.032,0.05,11.7095079422
0.0,0.05,-4.0,0.2,0.000227288375,0.217470736815,0.217698025189,0.017945302266,0.031323897084,0.04926919935,7.84406e-07,-0.000126089333,-0.000125304927,4.418541970676,0.102129951482,-1.43707e-07,0.001607956094,-2.5232e-07,0.000111846337,-0.303441612709,-3.9858077e-05,0.000111702629,-0.301833656615,-4.0110398e-05,0.017917443247,7.84406e-07,-0.001025066295,0.046417585388,-0.000126089333,0.214755944425,0.064335028635,-0.000125304927,0.21373087813,0.249445413418,0.041330746365,-0.000171980527,0.249218125043,0.0233854441,-0.000172764933,0.058630499176,-0.000171980527,0.245954689804,0.040713055929,-0.000172764933,0.246979756099,6.035347419386,0.136799116399,1.0,alpha_elevator,-40,0,-4,0,0.032,0.05,11.312030076981
0.0,0.05,-2.0,0.2,-0.000436117146,0.379614611537,0.379178494391,0.018451676407,0.038258368404,0.056710044811,9.35036e-07,-8.9238759e-05,-8.8303723e-05,6.686266880091,0.25367687898,-1.61866e-07,0.001700666855,-5.21411e-07,0.000122712886,-0.32199934836,-1.7299979e-05,0.000122551021,-0.320298681505,-1.782139e-05,0.018425215876,9.35036e-07,-0.001079805695,0.051483421323,-8.9238759e-05,0.37804816277,0.069908637199,-8.8303723e-05,0.376968357076,0.415509572378,0.042418463771,-6.5769123e-05,0.415945689523,0.023966787363,-6.670416e-05,0.05689369854,-6.5769123e-05,0.413776072136,0.038468482664,-6.670416e-05,0.414855877831,9.795488460488,0.404946367842,1.0,alpha_elevator,-40,0,-2,0,0.032,0.05,10.894332170486
0.0,0.05,0.0,0.2,-0.001137544566,0.533340930128,0.532203385562,0.019282002834,0.045622826106,0.064904828941,7.98065e-07,-6.0418042e-05,-5.9619976e-05,8.199750222736,0.419076218936,-1.98434e-07,0.001789033163,-9.81531e-07,0.000133058512,-0.326672909692,8.99502e-06,0.000132860079,-0.324883876529,8.013489e-06,0.019282002834,7.98065e-07,-0.001137544566,0.045622826106,-6.0418042e-05,0.533340930128,0.064904828941,-5.9619976e-05,0.532203385562,0.585625388957,0.031139833153,-0.000167602208,0.586762933522,0.011857830319,-0.000168400273,0.031139833153,-0.000167602208,0.585625388957,0.011857830319,-0.000168400273,0.586762933522,18.806311070176,1.612389530556,1.0,alpha_elevator,-40,0,0,0,0.032,0.05,10.353111028671
0.0,0.05,2.0,0.2,-0.001912486632,0.702236787195,0.700324300563,0.020408834679,0.061097558671,0.081506393349,1.241836e-06,-7.5833131e-05,-7.4591295e-05,8.59226217459,0.541869205179,-2.371e-07,0.001869909869,-1.188957e-06,0.000125351641,-0.356569825732,1.3475412e-05,0.000125114541,-0.354699915863,1.2286455e-05,0.020463146989,1.241836e-06,-0.001199063538,0.03655262925,-7.5833131e-05,0.703941277565,0.057015776239,-7.4591295e-05,0.702742214027,0.7494035816,0.038005104012,-0.000163181896,0.751316068231,0.017596269333,-0.000164423732,0.011828144504,-0.000163181896,0.750273424188,-0.008635002485,-0.000164423732,0.751472487726,19.718498372526,1.881471857993,1.0,alpha_elevator,-40,0,2,0,0.032,0.05,10.392712831497
0.0,0.05,4.0,0.2,-0.002794340187,0.856169438566,0.853375098379,0.021866278165,0.076596645872,0.098462924037,1.449214e-06,0.000139146116,0.00014059533,8.66696887917,0.641785815822,-2.47629e-07,0.001946638099,-1.609121e-06,0.000148535214,-0.361385433057,0.000110555796,0.000148287585,-0.359438794959,0.000108946675,0.022007936328,1.449214e-06,-0.001262218856,0.016686699331,0.000139146116,0.859426964761,0.038694635659,0.00014059533,0.858164745905,0.924241496071,0.01248757184,-7.080836e-05,0.927035836258,-0.009378706324,-7.2257574e-05,-0.052014674911,-7.080836e-05,0.922861179216,-0.074022611239,-7.2257574e-05,0.924123398072,74.012907225101,-5.241516170776,1.0,alpha_elevator,-40,0,4,0,0.032,0.05,9.717200040817
0.0,0.05,6.0,0.2,-0.003813284263,1.014038704337,1.010225420073,0.023593773384,0.097497564627,0.121091338011,1.266237e-06,1.2940232e-05,1.4206469e-05,8.342672867194,0.706582296929,-2.7441e-07,0.002011818682,-2.029881e-06,0.000118234593,-0.375946640734,8.5865324e-05,0.000117960183,-0.373934822052,8.3835443e-05,0.023863120969,1.266237e-06,-0.001326173819,-0.009032444692,1.2940232e-05,1.018674964816,0.014830676277,1.4206469e-05,1.017348790998,1.097235448352,-0.008735212237,-5.1511004e-05,1.101048732615,-0.032328985621,-5.2777241e-05,-0.123379695089,-5.1511004e-05,1.090311599449,-0.147242816058,-5.2777241e-05,1.091637773267,-125.610622684823,-2.130906733901,1.0,alpha_elevator,-40,0,6,0,0.032,0.05,9.20728802681
0.0,0.05,8.0,0.2,-0.005015442314,1.164817919106,1.159802476792,0.025647856641,0.122700751725,0.148348608366,-4.7299e-08,-0.000248715743,-0.000248763042,7.818088012858,0.740015430282,-2.4538e-07,0.002077762964,-1.641057e-06,2.8545776e-05,-0.380028621706,-1.5090818e-05,2.8300396e-05,-0.377950858742,-1.6731876e-05,0.026096268123,-4.7299e-08,-0.001397140632,-0.040604685412,-0.000248715743,1.170558635296,-0.014508417289,-0.000248763042,1.169161494664,1.280170362492,-0.049669282217,-0.000409910766,1.285185804806,-0.075317138858,-0.000409863467,-0.227351183282,-0.000409910766,1.260799204496,-0.253447451405,-0.000409863467,1.262196345129,-25.773884891244,-1.205574865957,1.0,alpha_elevator,-40,0,8,0,0.032,0.05,9.52379989624
0.0,0.05,-8.0,0.2,0.002003112471,-0.229988753882,-0.227985641412,0.016143297622,0.006675170112,0.022818467735,4.8731e-08,-0.000108108244,-0.000108059513,-9.991277418969,0.525620855848,-7.852e-09,0.00031259012,1.13016e-07,4.7827944e-05,-0.131125554815,-4.752422e-05,4.7820092e-05,-0.130812964696,-4.7411204e-05,0.016264971534,4.8731e-08,-0.000263094472,-0.025398040248,-0.000108108244,-0.228679523263,-0.009133068715,-0.000108059513,-0.228942617735,-0.222274477405,0.019442720123,-8.8157024e-05,-0.224277589875,0.003299422501,-8.8205755e-05,-0.011681123377,-8.8157024e-05,-0.222817221121,-0.027946094911,-8.8205755e-05,-0.222554126649,-11.432272644785,1.063400830412,1.0,alpha_elevator,-20,0,-8,0,0.032,0.05,10.123018026352
