beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,mach,alpha_deg,beta_deg,re_cref,vinf_mps,rho,analysis_tag,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg,ycg,zcg,mach_commanded,l2_residual
0.0,0.05,-8.0,0.2,0.001657639885,-0.086127451289,-0.084469811404,0.016613755918,0.019939207258,0.036552963176,4.354897e-06,-0.000928758518,-0.000924403621,-2.310888203405,0.021466076258,-4.03261e-07,0.001135457565,6.831e-08,0.000164122546,-0.291952089389,-0.000333646585,0.000163719284,-0.290816631824,-0.000333578275,0.016682770871,4.354897e-06,-0.000670680082,0.00775853579,-0.000928758518,-0.088064266158,0.024441306661,-0.000924403621,-0.08873494624,-0.073903786049,0.035960042878,-0.000790082283,-0.075561425934,0.01934628696,-0.00079443718,0.025324663136,-0.000790082283,-0.078189230161,0.008641892265,-0.00079443718,-0.077518550079,-2.055164013553,0.022123963344,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,-8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-8,0,0.032,0.0,0.007,0.05,6.133095979691
0.0,0.05,-6.0,0.2,0.001022425265,0.059426670089,0.060449095354,0.016535136226,0.02119785476,0.037732990985,5.23406e-06,-0.00103855613,-0.00103332207,1.602022362274,0.010340587311,-4.79159e-07,0.001233010244,-4.7845e-08,0.000188515473,-0.307630354811,-0.0003702607,0.000188036315,-0.306397344567,-0.000370308545,0.016551427561,5.23406e-06,-0.000711568067,0.027293509195,-0.00103855613,0.05688534539,0.043844936756,-0.00103332207,0.056173777322,0.073577176821,0.033116923823,-0.00088877847,0.072554751556,0.016581787598,-0.00089401253,0.040626415074,-0.00088877847,0.069712452192,0.024074987513,-0.00089401253,0.07042402026,2.221739471155,0.013219218173,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,-6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-6,0,0.032,0.0,0.007,0.05,6.650978088379
0.0,0.05,-4.0,0.2,0.00041254392,0.204740733178,0.205153277097,0.016707602736,0.025734827058,0.042442429794,6.165566e-06,-0.001195878888,-0.001189713321,4.833683606122,0.09810545806,-5.59793e-07,0.001324852786,-2.27362e-07,0.000211652505,-0.322210572456,-0.000413062736,0.000211092712,-0.32088571967,-0.000413290098,0.016695681464,6.165566e-06,-0.000753924468,0.039954129891,-0.001195878888,0.202446824254,0.056649811355,-0.001189713321,0.201692899786,0.220831854548,0.030327846052,-0.001329214368,0.220419310628,0.013620243316,-0.001335379935,0.045658420407,-0.001329214368,0.218178355652,0.028962738942,-0.001335379935,0.21893228012,7.281488245835,0.185365777836,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,-4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-4,0,0.032,0.0,0.007,0.05,7.189653873444
0.0,0.05,-2.0,0.2,-0.000201396883,0.350410825153,0.35020942827,0.017141870084,0.033442217763,0.050584087846,7.253785e-06,-0.001361495766,-0.001354241981,6.923312116148,0.219997681409,-6.5521e-07,0.001413918464,-4.69865e-07,0.000243262431,-0.336834894936,-0.000462754615,0.000242607221,-0.335420976472,-0.00046322448,0.01712439907,7.253785e-06,-0.000799516836,0.045651007104,-0.001361495766,0.349030247778,0.062775406174,-0.001354241981,0.348230730942,0.368649349454,0.02745036257,-0.001683720925,0.368850746337,0.010308492486,-0.00169097471,0.040299317306,-0.001683720925,0.367466774393,0.023174918236,-0.00169097471,0.368266291229,13.429671412197,0.71370381062,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,-2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,-2,0,0.032,0.0,0.007,0.05,6.745281934738
0.0,0.05,0.0,0.2,-0.000847202538,0.494955315516,0.494108112978,0.017831111568,0.044175766717,0.062006878285,7.41782e-06,-0.001407137172,-0.001399719352,7.968601655914,0.331525837022,-6.87862e-07,0.00149824559,-8.06619e-07,0.000246025819,-0.350112237719,-0.000463161107,0.000245337957,-0.34861399213,-0.000463967726,0.017831111568,7.41782e-06,-0.000847202538,0.044175766717,-0.001407137172,0.494955315516,0.062006878285,-0.001399719352,0.494108112978,0.516518111108,0.024316833065,-0.001128684669,0.517365313646,0.006485721497,-0.001136102489,0.024316833065,-0.001128684669,0.516518111108,0.006485721497,-0.001136102489,0.517365313646,21.241175186231,2.258100050044,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,0.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,0,0,0.032,0.0,0.007,0.05,6.871701955795
0.0,0.05,2.0,0.2,-0.001553968192,0.63854026592,0.636986297728,0.018774978112,0.057992590541,0.076767568652,9.64287e-06,-0.001696819917,-0.001687177047,8.29759635365,0.41970600002,-8.70352e-07,0.001579106021,-1.030704e-06,0.000268911022,-0.362593742893,-0.000547473596,0.00026804067,-0.361014636872,-0.0005485043,0.01881777361,9.64287e-06,-0.00089778427,0.035672529116,-0.001696819917,0.640175196665,0.054490302727,-0.001687177047,0.639277412395,0.664859913037,0.021833719069,-0.001600624739,0.666413881229,0.003058740957,-0.001610267609,-0.001382857785,-0.001600624739,0.665216884148,-0.020200631396,-0.001610267609,0.666114668418,30.451061082965,7.957469608258,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,2,0,0.032,0.0,0.007,0.05,8.334061861038
0.0,0.05,4.0,0.2,-0.002352026775,0.78172043537,0.779368408595,0.019976807567,0.074819008114,0.094795815681,1.0404514e-05,-0.002105025384,-0.00209462087,8.221548630593,0.487002460881,-9.41842e-07,0.001659321117,-1.571573e-06,0.000306123714,-0.374961007973,-0.000662477567,0.000305181872,-0.373301686857,-0.000664049139,0.020092214161,1.0404514e-05,-0.000952785703,0.020106691746,-0.002105025384,0.785035313853,0.040198905907,-0.00209462087,0.78408252815,0.814676387947,0.018325027272,-0.001756402409,0.817028414721,-0.001651780295,-0.001766806923,-0.038548563639,-0.001756402409,0.813970166495,-0.0586407778,-0.001766806923,0.814922952198,44.457035498468,-22.059254001791,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,4,0,0.032,0.0,0.007,0.05,8.937391042709
0.0,0.05,6.0,0.2,-0.003259402979,0.924160801573,0.920901398594,0.021392037529,0.095334278843,0.116726316373,1.1492536e-05,-0.002092836335,-0.002081343799,7.889406838249,0.533623179095,-1.054879e-06,0.001726850591,-1.960809e-06,0.00032245189,-0.387985678818,-0.000654092511,0.000321397011,-0.386258828228,-0.00065605332,0.021615550094,1.1492536e-05,-0.001005470819,-0.001789080712,-0.002092836335,0.92906329767,0.019826469382,-0.002081343799,0.928057826851,0.963923274481,0.015630045178,-0.002032660792,0.96718267746,-0.005761992352,-0.002044153328,-0.085212996434,-0.002032660792,0.96027658653,-0.106828546529,-0.002044153328,0.961282057349,61.671176474923,-8.828991406023,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,6,0,0.032,0.0,0.007,0.05,9.685106992722
0.0,0.05,8.0,0.2,-0.004284671146,1.066420824282,1.062136153137,0.022968490514,0.121118966849,0.144087457363,3.683948e-06,-0.00079018476,-0.000786500812,7.371468499604,0.558734813586,-4.89356e-07,0.001767995726,-2.338832e-06,0.000160613632,-0.402607344431,-0.000181490557,0.000160124276,-0.400839348705,-0.000183829389,0.023341273713,3.683948e-06,-0.001046376972,-0.028476847654,-0.00079018476,1.072898992329,-0.005135573941,-0.000786500812,1.071852615358,1.110172816939,0.017153319052,-0.001069462849,1.114457488085,-0.005815171462,-0.001073146797,-0.137519809405,-0.001069462849,1.101755972004,-0.160861083118,-0.001073146797,1.102802348976,64.720583436716,-11.637384006954,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-40,0,8,0,0.032,0.0,0.007,0.05,9.877056121826
0.0,0.05,-8.0,0.2,0.001930273008,-0.204778622481,-0.202848349472,0.015187260589,0.005996339831,0.02118360042,3.43633e-07,-0.000602359214,-0.000602015581,-9.57572581852,0.411636830317,-3.4895e-08,0.000288899987,-9.9914e-08,8.8956241e-05,-0.148848411527,-0.000211377541,8.8921346e-05,-0.14855951154,-0.000211477455,0.015308101293,3.43633e-07,-0.000202170427,-0.022561692037,-0.000602359214,-0.203620260212,-0.007253590744,-0.000602015581,-0.203822430639,-0.204560078259,0.022603984258,-0.000567964547,-0.206490351268,0.007416723668,-0.00056830818,-0.006085256587,-0.000567964547,-0.205715180223,-0.021393357881,-0.00056830818,-0.205513009795,-9.049735477112,0.332803867571,1.0,0.186575,0.23281755126482356,0.995,0.032,0.0,0.007,0.05,-8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,-8,0,0.032,0.0,0.007,0.05,10.850379943848
